uc009vfm.1	ENSMUST00000163671
uc009vfq.1	ENSMUST00000111374
uc012hsg.1	ENSMUST00000170889
uc009vgg.1	ENSMUST00000105221
uc012hsn.1	ENSMUST00000166856
uc012hsq.1	ENSMUST00000168829
uc009vgl.1	ENSMUST00000165290
uc009vgt.1	ENSMUST00000115973
uc009vgv.1	ENSMUST00000104945
uc009vgz.1	ENSMUST00000115508
uc012hsu.1	ENSMUST00000163899
uc009vhd.2	ENSMUST00000111412
uc009vhh.1	ENSMUST00000172192
uc009vhm.1	ENSMUST00000163380
uc009vht.1	ENSMUST00000096694
uc009vhu.1	ENSMUST00000096694
uc012hta.1	ENSMUST00000170789
uc009vhv.1	ENSMUST00000169386
uc009vhx.1	ENSMUST00000163278
uc009vii.1	ENSMUST00000111385
uc012hte.1	ENSMUST00000171947
uc012htf.1	ENSMUST00000171296
uc012hth.1	ENSMUST00000111406
uc012hti.1	ENSMUST00000100105
uc012htl.1	ENSMUST00000115886
uc009vfn.1	ENSMUST00000165142
uc009vfs.1	ENSMUST00000171315
uc012hsi.1	ENSMUST00000165756
uc012hsj.1	ENSMUST00000052309
uc012hsk.1	ENSMUST00000115932
uc009vfv.1	ENSMUST00000110565
uc009vfw.1	ENSMUST00000110563
uc009vga.1	ENSMUST00000096719
uc012hsm.1	ENSMUST00000170235
uc009vgd.1	ENSMUST00000170235
uc009vge.1	ENSMUST00000115935
uc012hsp.1	ENSMUST00000169086
uc009vgk.1	ENSMUST00000166263
uc012hsr.1	ENSMUST00000164500
uc009vgm.1	ENSMUST00000165919
uc009vgr.1	ENSMUST00000170128
uc009vgw.1	ENSMUST00000165497
uc012hst.1	ENSMUST00000169140
uc009vgy.1	ENSMUST00000167291
uc012hsv.1	ENSMUST00000166002
uc009vhi.1	ENSMUST00000171439
uc009vho.1	ENSMUST00000165958
uc012hsx.1	ENSMUST00000165236
uc009vhr.1	ENSMUST00000171350
uc009vhz.1	ENSMUST00000106025
uc012htd.1	ENSMUST00000170605
uc009vif.1	ENSMUST00000100095
uc009vih.1	ENSMUST00000164339
uc009uyp.1	ENSMUST00000115964
uc009uyo.1	ENSMUST00000115964
uc009vfj.1	ENSMUST00000170474
uc009uym.1	ENSMUST00000051100
uc009uyn.1	ENSMUST00000076951
uc009uyr.2	ENSMUST00000115895
uc009uys.1	ENSMUST00000101189
uc012hrs.1	ENSMUST00000104821
uc012hdn.1	ENSMUST00000166295
uc009sjo.1	ENSMUST00000101711
uc009sjp.1	ENSMUST00000101711
uc009sjq.2	ENSMUST00000110427
uc009sjr.1	ENSMUST00000082231
uc009sjt.1	ENSMUST00000092582
uc009sjx.2	ENSMUST00000164823
uc012hdt.1	ENSMUST00000099422
uc009skc.1	ENSMUST00000099422
uc012hdu.1	ENSMUST00000169796
uc009skf.1	ENSMUST00000115502
uc009ski.1	ENSMUST00000092974
uc009shu.1	ENSMUST00000075819
